bigram,bigram,bigram,trigram,trigram,trigram,fourgram,fourgram,fourgram,fivegram,fivegram,fivegram,sixgram,sixgram,sixgram
Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score,Word,Similar_Word,Similarity_Score
qtl,chromosomes,1.0,qtl,chromosomes,1.0,qtl,chromosomes,1.0,qtl,chromosomes,1.0,qtl,chromosomes,1.0
qtl,chromosome,1.0,qtl,detected,1.0,qtl,regions,1.0,qtl,significant,1.0,qtl,significant,1.0
qtl,suggestive,0.99,qtl,identified,1.0,qtl,detected,1.0,qtl,chromosome,1.0,qtl,chromosome,1.0
qtl,detected,0.99,qtl,chromosome,1.0,qtl,significant,1.0,qtl,detected,1.0,qtl,detected,1.0
qtl,identified,0.99,qtl,regions,1.0,qtl,chromosome,1.0,qtl,regions,1.0,qtl,suggestive,1.0
qtl,significant,0.99,qtl,significant,1.0,qtl,identified,1.0,qtl,identified,1.0,qtl,regions,1.0
qtl,regions,0.99,qtl,qtls,1.0,qtl,one,0.99,qtl,one,1.0,qtl,one,1.0
qtl,located,0.99,qtl,suggestive,1.0,qtl,found,0.99,qtl,suggestive,1.0,qtl,identified,1.0
qtl,found,0.99,qtl,found,1.0,qtl,suggestive,0.99,qtl,qtls,1.0,qtl,found,1.0
qtl,level,0.99,qtl,one,1.0,qtl,located,0.99,qtl,found,1.0,qtl,region,0.99
qtl,one,0.99,qtl,located,1.0,qtl,four,0.99,qtl,located,1.0,qtl,qtls,0.99
qtl,qtls,0.98,qtl,mapped,0.99,qtl,three,0.99,qtl,four,1.0,qtl,four,0.99
qtl,region,0.98,qtl,level,0.99,qtl,five,0.99,qtl,region,1.0,qtl,located,0.99
qtl,four,0.98,qtl,region,0.99,qtl,region,0.99,qtl,two,1.0,qtl,level,0.99
qtl,respectively,0.98,qtl,five,0.99,qtl,snps,0.99,qtl,mapped,1.0,qtl,mapped,0.99
qtl,cm,0.98,qtl,respectively,0.99,qtl,bta,0.99,qtl,level,1.0,qtl,two,0.99
qtl,snps,0.98,qtl,suggestive_qtl,0.99,qtl,respectively,0.99,qtl,bta,1.0,qtl,respectively,0.99
qtl,mapped,0.98,qtl,bta,0.99,qtl,two,0.99,qtl,suggestive_qtl,1.0,qtl,cm,0.99
qtl,two,0.98,qtl,four,0.99,qtl,qtls,0.99,qtl,five,1.0,qtl,suggestive_qtl,0.99
qtl,bta,0.98,qtl,three,0.99,qtl,mapped,0.99,qtl,three,1.0,qtl,bta,0.99
traits,qtl_affecting,1.0,traits,many,1.0,traits,affected,1.0,traits,many,1.0,traits,many,1.0
traits,carcass,1.0,traits,quantitative_trait_loci_qtl,1.0,traits,included,1.0,traits,reported,1.0,traits,reported,1.0
traits,many,1.0,traits,genomic_regions,1.0,traits,multiple,1.0,traits,response,1.0,traits,previously,1.0
traits,specific,1.0,traits,including,1.0,traits,genomic_regions,1.0,traits,affecting,1.0,traits,conclusion,1.0
traits,milk_production,1.0,traits,genome,1.0,traits,present_study,1.0,traits,ph,1.0,traits,genomic_regions,1.0
traits,fatness,1.0,traits,pathways,1.0,traits,many,1.0,traits,affected,1.0,traits,affecting,1.0
traits,related,1.0,traits,new,1.0,traits,similar,1.0,traits,previously,1.0,traits,quantitative_trait_loci_qtl,1.0
traits,major,1.0,traits,across,1.0,traits,quantitative_trait_loci_qtl,1.0,traits,genomic_regions,1.0,traits,affected,1.0
traits,reported,1.0,traits,specific,1.0,traits,genome,1.0,traits,milk_production,1.0,traits,included,1.0
